contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,contract_type,exp_date,current_price,mid_price,bid_ask_diff,moneyness,days_to_exp,T
AMZN260130C00215000,2026-01-29 16:00:31+00:00,215.0,21.71,21.65,23.55,-6.9400005,-24.223389,8.0,1225,1.0000000000000003e-05,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,22.6,1.9000000000000021,1.1119535224382266,0,0.0
AMZN260130C00217500,2026-01-27 20:20:10+00:00,217.5,26.64,18.95,21.2,0.0,0.0,1.0,1437,1.0000000000000003e-05,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,20.075,2.25,1.0991724474676725,0,0.0
AMZN260130C00220000,2026-01-29 16:16:53+00:00,220.0,18.0,17.15,18.65,-5.5,-23.404255,68.0,2559,1.0000000000000003e-05,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,17.9,1.5,1.0866818514737215,0,0.0
AMZN260130C00222500,2026-01-29 15:54:08+00:00,222.5,14.65,14.15,16.2,-7.58,-34.09807,26.0,1431,1.0000000000000003e-05,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,15.175,2.049999999999999,1.0744719430301966,0,0.0
AMZN260130C00225000,2026-01-29 15:54:39+00:00,225.0,12.67,11.9,13.4,-5.6800003,-30.953678,64.0,2064,1.0000000000000003e-05,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,12.65,1.5,1.0625333658854166,0,0.0
AMZN260130C00227500,2026-01-28 20:46:33+00:00,227.5,16.12,10.2,11.0,0.0,0.0,64.0,1074,1.0000000000000003e-05,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,10.6,0.8000000000000007,1.050857175051511,0,0.0
AMZN260130C00230000,2026-01-29 16:23:26+00:00,230.0,8.5,8.3,8.7,-4.8,-36.09023,251.0,3481,1.0000000000000003e-05,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,8.5,0.3999999999999986,1.039434814453125,0,0.0
AMZN260130C00232500,2026-01-29 16:23:06+00:00,232.5,6.11,6.0,6.2,-5.07,-45.34884,204.0,3310,1.0000000000000003e-05,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,6.1,0.20000000000000018,1.028258096018145,0,0.0
AMZN260130C00235000,2026-01-29 16:23:45+00:00,235.0,4.2,4.15,4.25,-4.8100004,-53.385128,861.0,9908,0.18457846679687498,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,4.2,0.09999999999999964,1.0173191801030586,0,0.0
AMZN260130C00237500,2026-01-29 16:22:25+00:00,237.5,2.51,2.53,2.58,-4.4399996,-63.884888,1982.0,7207,0.2368240380859375,True,REGULAR,USD,Calls,2026-01-30,239.07000732421875,2.5549999999999997,0.050000000000000266,1.0066105571546053,0,0.0
AMZN260130C00240000,2026-01-29 16:24:09+00:00,240.0,1.38,1.36,1.38,-3.62,-72.54509,11978.0,17367,0.2541578491210938,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,1.37,0.019999999999999796,0.9961250305175782,0,0.0
AMZN260130C00242500,2026-01-29 16:23:38+00:00,242.5,0.64,0.64,0.66,-2.9099998,-81.74158,10756.0,16944,0.2668530346679688,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.65,0.020000000000000018,0.9858557003060567,0,0.0
AMZN260130C00245000,2026-01-29 16:23:26+00:00,245.0,0.3,0.3,0.31,-1.97,-86.78414,17631.0,43588,0.2841868457031249,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.305,0.010000000000000009,0.9757959482621174,0,0.0
AMZN260130C00247500,2026-01-29 16:23:20+00:00,247.5,0.15,0.15,0.16,-1.28,-89.51049,9173.0,29523,0.309577216796875,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.155,0.010000000000000009,0.965939423532197,0,0.0
AMZN260130C00250000,2026-01-29 16:22:00+00:00,250.0,0.09,0.08,0.09,-0.72,-88.888885,9247.0,22917,0.33789724609375,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.08499999999999999,0.009999999999999995,0.956280029296875,0,0.0
AMZN260130C00252500,2026-01-29 16:16:50+00:00,252.5,0.05,0.04,0.05,-0.42,-91.30435,2033.0,14972,0.36133451171875,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.045,0.010000000000000002,0.9468119101949257,0,0.0
AMZN260130C00255000,2026-01-29 16:20:15+00:00,255.0,0.04,0.02,0.04,-0.21000001,-84.0,2779.0,18158,0.4023497265625,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.03,0.02,0.9375294404871324,0,0.0
AMZN260130C00257500,2026-01-29 16:11:57+00:00,257.5,0.02,0.02,0.03,-0.13000001,-92.85714,335.0,3284,0.437505625,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.025,0.009999999999999998,0.9284272129095874,0,0.0
AMZN260130C00260000,2026-01-29 16:12:22+00:00,260.0,0.01,0.01,0.02,-0.09,-90.0,1165.0,8318,0.46094289062500005,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.015,0.01,0.9195000281700721,0,0.0
AMZN260130C00262500,2026-01-29 16:06:29+00:00,262.5,0.01,0.0,0.01,-0.049999997,-83.333336,78.0,954,0.4687553125,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.005,0.01,0.9107428850446428,0,0.0
AMZN260130C00265000,2026-01-29 16:17:22+00:00,265.0,0.01,0.0,0.01,-0.03,-75.0,89.0,8539,0.51562984375,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.005,0.01,0.9021509710347877,0,0.0
AMZN260130C00267500,2026-01-28 17:59:50+00:00,267.5,0.02,0.0,0.03,0.0,0.0,49.0,1524,0.57812921875,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.015,0.03,0.8937196535484813,0,0.0
AMZN260130C00270000,2026-01-29 14:37:06+00:00,270.0,0.01,0.0,0.01,0.0,0.0,5.0,3143,0.5625043750000001,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.005,0.01,0.8854444715711806,0,0.0
AMZN260130C00275000,2026-01-29 14:30:04+00:00,275.0,0.01,0.0,0.01,0.0,0.0,4.0,2025,0.6250037500000001,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.005,0.01,0.8693454811789773,0,0.0
AMZN260130C00280000,2026-01-29 14:30:02+00:00,280.0,0.01,0.0,0.01,0.0,0.0,23.0,1029,0.7187528125,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.005,0.01,0.8538214547293527,0,0.0
AMZN260130C00285000,2026-01-28 14:43:11+00:00,285.0,0.01,0.0,0.15,0.0,0.0,1.0,1400,1.0351610742187503,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.075,0.15,0.8388421309621711,0,0.0
AMZN260130C00290000,2026-01-27 20:07:18+00:00,290.0,0.02,0.0,0.06,0.0,0.0,1.0,85,1.0078174609375,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.03,0.06,0.8243793356007543,0,0.0
